epoch,train_loss_total,train_loss_forecast,train_loss_align,train_sim_latent,train_sim_output,condition_counts,val_loss_clean,best_val_loss,lambda_align,batch_size,train_epochs_max,patience,early_stop_counter,improved,epoch_time_sec
1,0.5973834155865435,0.590021287270312,0.07362127540246495,0.9371358264167354,0.9564267750056284,continuous_input_only:43;gaussian_pointwise_input_only:39;missing_observation_input_only:52;pointwise_spike_input_only:40;level_shift_input_output:60;variance_burst_input_output:31,0.8515436825427142,0.8515436825427142,0.1,32,10,3,0,True,538.171826839447
2,0.5151687077756198,0.5115157271331211,0.03652980996752685,0.9870678681247639,0.9679231290547353,continuous_input_only:51;gaussian_pointwise_input_only:48;missing_observation_input_only:38;pointwise_spike_input_only:40;level_shift_input_output:37;variance_burst_input_output:51,0.8158385489474643,0.8158385489474643,0.1,32,10,3,0,True,569.2872576713562
3,0.4788943585359825,0.47457007237200466,0.04324285847679624,0.9823032082251782,0.9595679888185465,continuous_input_only:46;gaussian_pointwise_input_only:35;missing_observation_input_only:38;pointwise_spike_input_only:50;level_shift_input_output:52;variance_burst_input_output:44,0.7788443839685484,0.7788443839685484,0.1,32,10,3,0,True,681.772801399231
4,0.45256720314610677,0.44908167568017854,0.03485526848795279,0.9761605656371927,0.9675233067206617,continuous_input_only:54;gaussian_pointwise_input_only:38;missing_observation_input_only:39;pointwise_spike_input_only:51;level_shift_input_output:40;variance_burst_input_output:43,0.7440440438010476,0.7440440438010476,0.1,32,10,3,0,True,800.2649774551392
5,0.45502172899696064,0.4512681668659426,0.03753561113943469,0.9711358338032129,0.9617590287946305,continuous_input_only:38;gaussian_pointwise_input_only:36;missing_observation_input_only:45;pointwise_spike_input_only:46;level_shift_input_output:46;variance_burst_input_output:54,0.7332970747216181,0.7332970747216181,0.1,32,10,3,0,True,1008.7505333423615
6,0.43123776732750657,0.42830130784016734,0.029364591112957812,0.9741277388806613,0.9722466844432759,continuous_input_only:49;gaussian_pointwise_input_only:54;missing_observation_input_only:44;pointwise_spike_input_only:40;level_shift_input_output:32;variance_burst_input_output:46,0.7310966439545155,0.7310966439545155,0.1,32,10,3,0,True,1120.3076751232147
7,0.4153840416444922,0.4119748515902825,0.034091904710205095,0.969318210178951,0.96706922211737,continuous_input_only:51;gaussian_pointwise_input_only:39;missing_observation_input_only:45;pointwise_spike_input_only:45;level_shift_input_output:40;variance_burst_input_output:45,0.7303005693988367,0.7303005693988367,0.1,32,10,3,0,True,1204.9199812412262
8,0.40366183080763185,0.3999287998901223,0.03733030340440993,0.9660292288042465,0.9636127143535974,continuous_input_only:43;gaussian_pointwise_input_only:45;missing_observation_input_only:45;pointwise_spike_input_only:42;level_shift_input_output:45;variance_burst_input_output:45,0.7317683899097822,0.7303005693988367,0.1,32,10,3,1,False,457.6024401187897
9,0.38272360152793383,0.37912284287641634,0.03600759020532077,0.9655584976358234,0.9652876709992031,continuous_input_only:43;gaussian_pointwise_input_only:54;missing_observation_input_only:44;pointwise_spike_input_only:40;level_shift_input_output:45;variance_burst_input_output:39,0.7209330621090803,0.7209330621090803,0.1,32,10,3,0,True,448.1297333240509
10,0.3856082122280913,0.38213634946436253,0.03471863188271253,0.9669463870660314,0.9685309275141302,continuous_input_only:44;gaussian_pointwise_input_only:42;missing_observation_input_only:54;pointwise_spike_input_only:41;level_shift_input_output:37;variance_burst_input_output:47,0.785376672717658,0.7209330621090803,0.1,32,10,3,1,False,469.9844398498535
